2020-05-11 23:31:47,b'@GHueco Ey 10 %. Que fumaron. ?? Argy cono@m\xc3\xadnimo 12 o 13 hoy y encima con COVID 19 dibujado';;;
2020-05-11 23:31:47,b'RT @plaza_aguerrida: #EsNoticia \xf0\x9f\x97\x9e\xef\xb8\x8f Este lunes inicia encuesta diagn\xc3\xb3stica Covid-19 a trav\xc3\xa9s del Sistema Patria \xf0\x9f\x91\x87\nhttps://t.co/RN3W5xOCW1\n\n@\xe2\x80\xa6';;;
"2020-05-11 23:31:48,""b'RT @HarmaninChile: Dinamarca lo hizo desde el principio, Alemania sigui\xc3\xb3, y ahora tambi\xc3\xa9n los Pa\xc3\xadses Bajos con las nuevas medidas financier\xe2\x80\xa6'""";;;
"2020-05-11 23:31:48,""b'RT @jorgeolivos1: Cu\xc3\xa1l es la respuesta del Colegio M\xc3\xa9dico del Per\xc3\xba frente a los 31 mil m\xc3\xa9dicos """"vulnerables"""" al COVID-19 que han pedido lic\xe2\x80\xa6'""";;;
"2020-05-11 23:31:48,""b'RT @TupamaroMRT: #11May || Vicepresidenta Ejecutiva @drodriven2 inform\xc3\xb3 que existen 8 nuevos casos de #Covid_19, dando un total 422, adem\xc3\xa1s\xe2\x80\xa6'""";;;
2020-05-11 23:31:48,b'#Naci\xc3\xb3n | Sube a 422 los casos de covid-19 en Venezuela (+mapa)\nhttps://t.co/u9ne9w4mvX'; a\xe2\x80\xa6';;
2020-05-11 23:31:48,b'@majoguevara5 @MilenaMayorga Que estupidez decir ya le dimos dinero al presidente para que se prepare Contra el cov\xe2\x80\xa6 https://t.co/E0uzffnXqw';;;
2020-05-11 23:31:48,b'RT @jaarreaza: El Presidente de Argentina @alferdez reitera su llamado al cese del bloqueo  de la administraci\xc3\xb3n Trump a Cuba y Venezuela.\xe2\x80\xa6';;;
2020-05-11 23:31:48,b'RT @NicolasMaduro: #EnVivo \xf0\x9f\x93\xb9 | Reuni\xc3\xb3n de balance de la lucha contra el COVID-19 y evaluaci\xc3\xb3n de distintos temas de inter\xc3\xa9s nacional.\nhttps\xe2\x80\xa6';;;
"2020-05-11 23:31:49,""b'RT @dw_espanol: Lo \xc3\xbaltimo del #coronavirus: Inician #test masivos de #COVID-19 a #comerciantes de #mercados de alimentos de #Lima, #Per\xc3\xba, q\xe2\x80\xa6'""";;;
"2020-05-11 23:31:49,""b'RT @ResearchFacta: Amigos, les compartimos los primeros datos de un estudio que hemos realizado en Facta Research sobre las afectaciones ec\xe2\x80\xa6'""";;;
